Series ID,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Annual 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Annual 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Annual 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Nov 2025,labor_force_status,type_of_data,age,class_of_worker,industry,AI_Exposure_Score
LNU03032238,196.0,246.0,211.0,198.0,193.0,211.0,162.0,181.0,136.0,195.0,200.0,271.0,200.0,236.0,227.0,189.0,214.0,240.0,226.0,197.0,224.0,190.0,222.0,232.0,293.0,224.0,214.0,242.0,225.0,280.0,286.0,274.0,256.0,297.0,238.0,191.0,240.0,214.0,246.0,214.0,211.0,290.0,308.0,281.0,245.0,238.0,174.0,244.0,210.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Financial activities,1.538181275
LNU04032238,1.9,2.4,2.0,1.9,1.9,2.1,1.6,1.8,1.3,1.9,1.9,2.6,1.9,2.3,2.2,1.8,2.1,2.3,2.2,1.9,2.2,1.9,2.2,2.3,2.9,2.2,2.1,2.4,2.2,2.7,2.8,2.7,2.5,3.0,2.4,1.9,2.4,2.1,2.4,2.0,2.0,2.8,2.9,2.7,2.3,2.2,1.6,2.3,2.1,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Financial activities,1.538181275
LNU03032239,835.0,737.0,756.0,551.0,583.0,640.0,628.0,688.0,544.0,645.0,702.0,668.0,665.0,649.0,801.0,744.0,684.0,750.0,628.0,688.0,729.0,699.0,611.0,747.0,721.0,704.0,816.0,962.0,826.0,746.0,726.0,738.0,845.0,864.0,746.0,835.0,787.0,710.0,800.0,958.0,1038.0,847.0,702.0,673.0,724.0,696.0,885.0,803.0,857.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Professional and business services,0.6538997047619047
LNU04032239,4.5,3.9,4.0,3.0,3.1,3.4,3.3,3.5,2.9,3.5,3.7,3.5,3.5,3.5,4.2,3.9,3.7,3.9,3.3,3.5,3.7,3.6,3.2,3.9,3.9,3.7,4.3,5.1,4.4,4.0,3.7,3.7,4.2,4.2,3.7,4.2,4.0,3.7,4.1,4.9,5.3,4.3,3.6,3.4,3.6,3.3,4.2,3.9,4.2,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Professional and business services,0.6538997047619047
LNU03032240,699.0,754.0,628.0,556.0,620.0,803.0,785.0,760.0,659.0,677.0,521.0,483.0,662.0,599.0,611.0,604.0,494.0,595.0,733.0,722.0,822.0,638.0,593.0,528.0,560.0,625.0,667.0,587.0,611.0,559.0,745.0,823.0,973.0,975.0,816.0,820.0,781.0,700.0,755.0,739.0,785.0,780.0,678.0,750.0,924.0,1023.0,981.0,888.0,810.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Education and health services,0.7745416319999999
LNU04032240,2.9,3.0,2.5,2.2,2.5,3.3,3.2,3.1,2.6,2.7,2.1,2.0,2.7,2.4,2.4,2.4,1.9,2.3,2.8,2.8,3.2,2.4,2.3,2.0,2.2,2.4,2.6,2.2,2.3,2.1,2.9,3.1,3.7,3.7,3.1,3.1,3.0,2.7,2.9,2.7,2.8,2.8,2.5,2.7,3.4,3.8,3.7,3.3,3.0,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Education and health services,0.7745416319999999
LNU03032241,1046.0,849.0,771.0,641.0,681.0,721.0,677.0,839.0,802.0,738.0,769.0,694.0,769.0,797.0,693.0,684.0,686.0,717.0,735.0,836.0,817.0,734.0,757.0,758.0,662.0,740.0,814.0,810.0,746.0,784.0,824.0,743.0,811.0,748.0,761.0,818.0,830.0,715.0,784.0,983.0,983.0,828.0,734.0,891.0,896.0,883.0,890.0,939.0,802.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Leisure and hospitality,-0.3151947
LNU04032241,8.2,6.6,5.9,4.8,5.1,5.2,4.8,6.1,5.9,5.5,5.8,5.4,5.8,6.0,5.2,5.0,5.0,5.2,5.1,5.8,5.8,5.4,5.5,5.5,4.8,5.3,6.0,5.9,5.5,5.7,5.9,5.2,5.5,5.5,5.6,6.0,6.2,5.4,5.7,7.4,7.4,6.2,5.4,6.4,6.4,6.2,6.4,6.7,5.9,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Leisure and hospitality,-0.3151947
LNU03032242,317.0,207.0,200.0,209.0,200.0,169.0,194.0,231.0,189.0,174.0,165.0,170.0,202.0,209.0,194.0,208.0,139.0,195.0,140.0,187.0,232.0,211.0,264.0,234.0,236.0,204.0,269.0,265.0,300.0,235.0,219.0,263.0,219.0,219.0,192.0,217.0,207.0,252.0,238.0,240.0,277.0,337.0,257.0,221.0,228.0,259.0,298.0,257.0,265.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Other services,-0.0255067461538461
LNU04032242,4.9,3.5,3.2,3.3,3.1,2.5,2.8,3.3,2.8,2.5,2.5,2.7,3.1,3.3,3.1,3.3,2.1,2.9,2.1,2.7,3.5,3.1,3.8,3.4,3.5,3.1,4.0,3.9,4.4,3.5,3.4,3.9,3.2,3.3,2.8,3.1,3.0,3.8,3.5,3.6,4.2,5.0,3.8,3.2,3.2,3.9,4.5,3.7,3.8,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Other services,-0.0255067461538461
LNU03035109,129.0,144.0,107.0,62.0,49.0,69.0,82.0,105.0,46.0,81.0,85.0,75.0,86.0,70.0,105.0,108.0,68.0,75.0,85.0,63.0,93.0,62.0,106.0,105.0,110.0,88.0,120.0,140.0,105.0,83.0,116.0,77.0,152.0,207.0,135.0,73.0,54.0,139.0,117.0,138.0,117.0,131.0,107.0,97.0,97.0,64.0,98.0,111.0,175.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Agriculture and related industries,-1.5582573333333334
LNU04035109,8.5,9.4,7.0,4.3,3.1,4.4,4.7,6.7,3.2,5.1,5.6,5.0,5.6,4.9,7.1,7.4,4.6,4.6,5.1,3.8,5.8,3.9,6.7,6.6,7.0,5.6,8.0,9.0,7.1,5.4,7.3,4.3,8.5,11.3,7.9,4.5,3.7,8.8,7.2,8.8,8.0,8.2,7.0,6.6,5.7,3.6,6.0,7.0,11.6,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Agriculture and related industries,-1.5582573333333334
LNU03028615,477.0,386.0,324.0,328.0,356.0,653.0,802.0,591.0,388.0,321.0,332.0,381.0,445.0,429.0,374.0,372.0,343.0,386.0,649.0,657.0,599.0,393.0,354.0,305.0,330.0,433.0,402.0,373.0,372.0,267.0,410.0,631.0,762.0,659.0,434.0,399.0,372.0,445.0,461.0,363.0,440.0,423.0,413.0,455.0,691.0,793.0,754.0,547.0,613.0,Unemployed,Number in thousands,16 years and over,Government wage and salary workers,,
LNU04028615,2.2,1.8,1.5,1.5,1.7,3.1,3.8,2.8,1.8,1.5,1.5,1.7,2.1,1.9,1.7,1.7,1.5,1.8,3.0,3.1,2.8,1.8,1.6,1.4,1.5,2.0,1.8,1.7,1.7,1.2,1.8,2.9,3.5,3.0,1.9,1.8,1.6,1.9,2.1,1.6,2.0,1.9,1.8,2.0,3.2,3.7,3.3,2.4,2.7,Unemployment rate,Percent or rate,16 years and over,Government wage and salary workers,,
LNU03035181,416.0,399.0,331.0,378.0,273.0,284.0,234.0,263.0,288.0,325.0,323.0,391.0,326.0,354.0,306.0,334.0,244.0,261.0,340.0,288.0,313.0,278.0,367.0,201.0,359.0,304.0,351.0,359.0,343.0,296.0,212.0,356.0,322.0,309.0,356.0,354.0,429.0,307.0,333.0,417.0,431.0,444.0,385.0,322.0,296.0,354.0,361.0,272.0,360.0,Unemployed,Number in thousands,16 years and over,"Self-employed unincorporated, and unpaid family workers (8 and 9)",,
LNU04035181,4.1,3.9,3.2,3.7,2.6,2.7,2.3,2.6,2.8,3.1,3.2,3.9,3.2,3.5,3.0,3.3,2.4,2.6,3.3,2.9,3.1,2.7,3.6,2.0,3.5,3.0,3.5,3.5,3.3,2.9,2.0,3.5,3.1,2.9,3.4,3.4,4.2,3.0,3.2,4.2,4.3,4.3,3.7,3.1,2.9,3.5,3.5,2.7,3.4,Unemployment rate,Percent or rate,16 years and over,"Self-employed unincorporated, and unpaid family workers (8 and 9)",,
